scientificname
?Agastoschizomus n.sp.
Chromis enchrysura
Chromis hanui
Chromis insolata
Chromis multilineata
Chromis ovalis
Chromis scotti
Chromis struhsakeri
Chromodoris vibrata
Chrosiothes jenningsi
Chrysaora quinquecirrha
Chrysemys picta bellii
Chrysemys picta dorsalis
Chrysemys picta marginata
Chrysemys picta picta
Chrysis gloriosa [Plusiotus]
Chrysis lecontei [Plusiotus]
Chrysis tularensis
Chrysis woodi [Plusiotus]
Chrysothamnus viscidiflorus
Chrysotus parvulus
Chrysymenia glebosa
Chthamalus fragilis
Chthonius virginicus
Chytonix ruperti
Chytonix sensilis
Cibolacris samalayucae
Cibotium chamissoi
Cibotium glaucum
Cibotium spp.
Cicaudula cyperacea
Cicaudula straminea
Cicindela abdominalis
Cicindela ancocisconensis
Cicindela arenicola
Cicindela cazieri
Cicindela celeripes
Cicindela circumpicta johnsonii
Cicindela columbica
Cicindela cuprascens
Cicindela cursitans
Cicindela denikei
Cicindela dorsalis
Cicindela dorsalis dorsalis
Cicindela dorsalis media
Cicindela duodecimguttata
Cicindela formosa
Cicindela formosa generosa
Cicindela formosa pigmentosignata
Cicindela fulgida fulgida
Cicindela fulgida westbournei
Cicindela fulgoris albilata
Cicindela gabbi
Cicindela gratiosa
Cicindela highlandensis
Cicindela hirticollis
Cicindela hirticollis abrupta
Cicindela hirticollis gravida
Cicindela hirticollis hirticollis
Cicindela hirticollis rhodensis
Cicindela hirticollis siuslawensis
Cicindela latesignata latesignata
Cicindela lepida
Cicindela limbalis
Cicindela limbalis transversa
Cicindela limbata nympha
Cicindela longilabris
Cicindela macra
Cicindela macra macra
Cicindela marginata
Cicindela marginipennis
Cicindela nebraskana
Cicindela nevadica lincolniana
Cicindela nevadica olmosa
Cicindela nevadica tubensis
Cicindela obsoleta
Cicindela ohlone
Cicindela olivacea
Cicindela oregona maricopa
Cicindela patruela
Cicindela patruela consentanea
Cicindela patruela huberi
Cicindela patruela patruela
Cicindela plutonica
Cicindela politula petrophila
Cicindela pruinina
Cicindela pulchra
Cicindela puritana
Cicindela purpurea
Cicindela rufiventris
Cicindela rufiventris hentzii
Cicindela scabrosa
Cicindela scutellaris
Cicindela scutellaris rugifrons
Cicindela senilis frosti
Cicindela splendida
Cicindela splendida cyanocephalata
Cicindela striga
Cicindela theatina
Cicindela togata
Cicindela tranquebarica
Cicindela tranquebarica new subspecies
Cicindela tranquebarica viridissima
Cicindela unipunctata
Cicindela waynei
Cicinnus melsheimeri
Cicurina (Cicurella) caliga (Cokendolpher & Red
Cicurina (Cicurella) coryelli (Gertsch)
Cicurina (Cicurella) hoodensis (Cokendolpher &
Cicurina (Cicurella) mixmaster (Cokendolpher &
Cicurina aenigma (Gertsch)
Cicurina armadillo (Gertsch)
Cicurina bandera (Gertsch)
Cicurina bandida (Gertsch)
Cicurina baronia (Gertsch)
Cicurina barri (Gertsch)
Cicurina blanco (Gertsch)
Cicurina bowni (Gertsch)
Cicurina caverna (Gertsch)
Cicurina cueva (Gertsch)
Cicurina delrio (Gertsch)
Cicurina dorothea (Gertsch)
Cicurina elliotti (Gertsch)
Cicurina ezelli (Gertsch)
Cicurina gatita (Gertsch)
Cicurina gruta (Gertsch)
Cicurina hexops (Chamberlin and Ivie)
Cicurina holsingeri (Gertsch)
Cicurina joya (Gertsch)
Cicurina machete (Gertsch)
Cicurina madla (Gertsch)
Cicurina marmorea (Gertsch)
Cicurina mckenziei (Gertsch)
Cicurina medina (Gertsch)
Cicurina menardia (Gertsch)
Cicurina microps (Chamberlin and Ivie)
Cicurina minorata (Gersch and Davis)
Cicurina mirifica (Gertsch)
Cicurina modesta (Gertsch)
Cicurina obscura (Gertsch)
Cicurina orellia (Gertsch)
Cicurina pablo (Gertsch)
Cicurina pampa (Chamberlin and Ivie)
Cicurina pastura (Gertsch)
Cicurina patei (Gertsch)
Cicurina porteri (Gertsch)
Cicurina puentecilla (Gertsch)
Cicurina rainesi (Gertsch)
Cicurina reclusa (Gertsch)
Cicurina reddelli (Gertsch)
Cicurina reyesi (Gertsch)
Cicurina riogrande (Gertsch and Mulaik)
Cicurina rosae (Gertsch)
Cicurina rudimentops (Chamberlin and Ivie)
Cicurina russeli (Gertsch)
Cicurina sansaba (Gertsch)
Cicurina selecta (Gertsch)
Cicurina serena (Gertsch)
Cicurina sheari (Gertsch)
Cicurina sintonia (Gertsch)
Cicurina sprousei (Gertsch)
Cicurina stowersi (Gertsch)
Cicurina suttoni (Gertsch)
Cicurina texana (Gertsch)
Cicurina travisae (Gertsch)
Cicurina ubicki (Gertsch)
Cicurina uvalde (Gertsch)
Cicurina venefica (Gertsch)
Cicurina venii (Gertsch)
Cicurina vespera (Gertsch)
Cicurina vibora (Gertsch)
Cicurina wartoni (Gertsch)
Cicurina watersi (Gertsch)
Cicuta bulbifera
Cincinnatia cincinnatiensis
Cincinnatia helicogyra
Cincinnatia integra
Cincinnatia mica
Cincinnatia monroensis
Cincinnatia parva
Cincinnatia ponderosa
Cincinnatia sp.
Cincinnatia vanhyningi
Cincinnatia wekiwae
Cincinnatia winkleyi
Cinclidium stygium
Cinclus mexicanus
Cinetorhynchus hawaiiensis
Cinetorhynchus hendersoni
Cingilia catenaria
Cinygma dimicki
Cinygmula subaequalis
Ciona intestinalis
Circus cyaneus
Cirrhipathes anguina
Cirrhitidae
Cirrhophanus triangulifer
Cirriformia filigera
Cirriformia grandis
Cirripectes obscurus
Cirriphyllum piliferum
Cirrophorus lyriformis
Cirrophorus sp.
Cirsium discolor
Cirsium undulatum
Cirsium virginianum
Cissus trifoliata
Cistenides gouldii
Cisthene kentuckiensis
Cisthene packardii
Cisthene plumbea
Cisthene tenuifascia
Cistothorus palustris
Cistothorus palustris griseus
Cistothorus palustris marianae
Cistothorus platensis
Citharichthys macrops
Citharichthys spilopterus
Citharichthys uhleri
Citheronia regalis
Citheronia sepulcralis
Cittarium pica
Cladactella manni
Cladium jamaicense
Cladocera
Cladocora arbuscula
Cladonia cervicornis ssp. verticillata
Cladonia leporina
Cladophora longiarticulata var. valida
Clangula hyemalis
Claoxylon sandwicense
Clappia cahabensis
Clavelina oblonga
Claytonia ozarkensis
Claytonia virginica
Cleantioides planicauda
Cleidogona fidelitor
Cleidogona hoffmani
Cleidogona lachesis
Cleidogona medialis
Clematis fremontii
Clematis hirsutissima var. scottii
Clematis pitcheri
Clematis socialis
Clematis viorna
Clemmys guttata
Clemmys insculpta
Clemmys inscuplta
Clemmys muhlenbergii
Cleome serrulata
Cleomella angustifolia
Clepticus parrae
Cleptornis marchei
Clermontia clermontioides
Clermontia drepanomorpha
Clermontia fauriei
Clermontia lindseyana
Clermontia oblongifolia subsp. brevipes
Clermontia oblongifolia subsp. mauiensis
Clermontia peleana subsp. peleana
Clermontia pyrularia
Clermontia samuelii subsp. hanaensis
Clermontia samuelii subsp. samuelii
Clermontia spp.
Clethrionomys gapperi
Clethrionomys gapperi maurus
Clethrionomys gapperi phaeus
Clethrionomys gapperi solus
Clethrionomys gapperi stikinensis
Clethrionomys gapperi wrangeli
Clethrionomys rutilus
Clethrionomys rutilus albiventer
Clethrionomys rutilus glacialis
Clethrionomys rutilus insularis
Clethrionomys rutilus orca
Clibanarius tricolor
Clibanarius vittatus
Climacia sp. 1
Clinocottus acuticeps
Clinostomus elongatus
Clinostomus funduloides
Clinostomus funduloides ssp.
Clinostomus funduloides ssp. 1
Cliona celata
Cliona lobata
Cliona robusta
Cliona spirilla
Cliona vastifica
Clioperla clio
Clithon cariosus
Clithon neglectus
Cloeon cognatum
Clonophis kirtlandii
Clubiona spiralis
Clupea harengus
Clupea pallasi
Clymenella torquata
Clypeaster rosaceus
Clypeaster subdepressus
Clytia gracilis
Clytia kincaidi
Clytorhynchus vitiensis
Cnemidophorus burti stictogrammus
Cnemidophorus neotesselatus
Cnemidophorus sexlineatus
Cnemidophorus sexlineatus viridis
Cnemidophorus tesselatus
Coccinella novemnotata
Coccoloba rugosa
Coccothraustes vespertinus
Coccyzus americanus
Coccyzus americanus occidentalis
Coccyzus erythropthalmus
Coccyzus minor
Cochlicopa morseana
Cochlicopa nitens
Cochliolepis parasitica
Cochliopa texana
Codium cicatrix
Codium extricatum
Coelioxys piercei
Coeloglossum viride
Coeloglossum viride var. virescens
Coelorachis cylindrica
Coelus globosus
Coelus gracilis
Coenagrion angulatum
Coenagrion interrogatum
Coenagrion resolutum
Coenobita clypeatus
Coenobita spp.
Coenogonium missouriense
Coenonycha clementina
Coenonympha tullia
Coenonympha tullia yontockett
Coereba flaveola
Cogia outis
Colaptes auratus
Colaptes auratus auratus
Colaptes chrysoides
Colaspis suggona
Coleonyx brevis
Coleonyx reticulatus
Coleonyx switaki
Coleonyx variegatus
Coleonyx variegatus abbotti
Coleonyx variegatus utahensis
Coleoptera
Colias cesonia
Colias interior
Colinus virginianus
Colinus virginianus ridgwayi
Collema nigrescens
Collembola
Colletes bumeliae
Colletes inuncantipedis
Colletes saritensis
Colligyrus convexus
Colligyrus greggi
Collinsonia canadensis
Collops vicarius
Colomastix halichondriae
Coloradia luski
Colpophyllia natans
Coluber c. flaviventrus
Coluber constrictor
Coluber constrictor constrictor
Coluber constrictor flaviventris
Coluber constrictor foxii
Coluber constrictor mormon
Colubrina oppositifolia
Columba flavirostris
Columbina passerina
Columella simplex
Comactinia echinoptera
Comaldessus stygius
Comanchelus chihuanus
Commellus colon
Conardia compacta
Conax variabilis
Condylactis gigantea
Condylura cristata
Condylura cristata parva
Condylura cristata pop. 1
Conepatus leuconotus
Conepatus leuconotus leuconotus
Conferva sandvicensis
Conger oceanicus
Conjuguterus parvus
Conocephalus nemoralis
Conocephalus saltans
Conopea galeata
Conopeum seurati
Conopeum tenuissimum
Conotrachelus rubescens
Conotyla aeto
Conotyla bollmani
Conotyla celeno
Conotyla melinda
Conotyla venetia
Conotyla vista
Conservula anodonta
Contia tenuis
Contopus cooperi
Contopus pertinax
Contopus portoricensis
Contopus sordidulus
Contopus virens
Conuropsis carolinensis
Conus abbreviatus
Conyza canadensis var. pusilla
Copablepharon fuscum
Copelatus chevrolati
Copelatus glyphicus
Copivaleria grotei
Copris fricator
Copris gopheri
Coprosma elliptica
Coprosma ernodeoides
Coprosma kauensis
Coprosma menziesii
Coprosma montana
Coprosma ochracea
Coprosma pubens
Coprosma rhynchocarpa
Coprosma spp.
Coragyps atratus
Corallophila ptilocladioides
Corallorhiza maculata var. occidentalis
Corallorhiza odontorhiza
Corallorhiza wisteriana
Corallorrhiza odontorhiza
Corbula contracta
Corbula swiftiana
Cordulegaster bilineata
Cordulegaster diastatops
Cordulegaster erronea
Cordulegaster maculata
Cordulegaster obliqua
Cordulegaster sayi
Cordulia shurtleffii
Cordylanthus maritimus ssp. palustris
Coregonus artedi
Coregonus clupeaformis
Coregonus hoyi
Coregonus kiyi
Coregonus laurettae
Coregonus nasus
Coregonus nipigon
Coregonus pidschian
Coregonus reighardi
Coregonus zenithicus
Coreopsis integrifolia
Coreopsis latifolia
Coreopsis pulchra
Coris flavovittata
Coris venusta
Corisella edulis
Corispermum pallasii
Corispermum villosum
Cornus florida
Coronadena mutabilis
Coronis excavatrix
Corvomeyenia everetti
Corvus brachyrhynchos
Corvus caurinus
Corvus corax
Corvus cryptoleucus
Corvus hawaiiensis
Corvus imparatus
Corvus kubaryi
Corvus leucognaphalus
Corydalis aurea
Corydalis curvisiliqua ssp. occidentalis
Corydalis flavula
Corydalis micrantha ssp. australis
Corylus americana
Corynorhinus rafinesquii
Corynorhinus rafinesquii macrotis
Corynorhinus townsendii
Corynorhinus townsendii ingens
Corynorhinus townsendii pallascens
Corynorhinus townsendii pallescens
Corynorhinus townsendii townsendii
Corynorhinus townsendii virginianus
Coryphaena hippurus
Coryphaeschna ingens
Coryphantha missouriensis
Coryphopterus dicrus
Coryphopterus eidolon
Coryphopterus glaucofraenum
Coryphopterus hyalinus
Coryphopterus lipernes
Coryphopterus personatus
Coryphopterus thrix
Coryphopterus tortugae
Corypus cochlearis
Coscinaraea wellsi
Cosmarium depauperatum
Cosmocampus albirostris
Cosmocampus balli
Cosmocampus brachycephalus
Cosmocampus elucens
Cosmotettix beirni
Cosmotettix bilineatus
Cosmotettix delector
Cosmotettix luteocephalus
Costoanachis avara
Costoanachis lafresnayi
Cotalpa lanigera
Cottidae
Cottus aleuticus
Cottus asper
Cottus asperrimus
Cottus baileyi
Cottus bairdii
Cottus beldingi
Cottus bendirei
Cottus caeruleomentum
Cottus carolinae
Cottus cognatus
Cottus echinatus
Cottus extensus
Cottus girardi
Cottus greenei
Cottus gulosus
Cottus klamathensis klamathensis
Cottus klamathensis macrops
Cottus klamathensis polyporus
Cottus leiopomus
Cottus marginatus
Cottus paulus
Cottus perplexus
Cottus rhotheus
Cottus ricei
Cottus sp 1
Cottus sp 7
Cottus sp. 1
Cottus sp. 4
Cottus sp. 5
Cottus sp. 7
Cottus sp. 8
Cottus tenuis
Coturnicops noveboracensis
Coturnicops noveboracensis noveboracensis
Couesius plumbeus
Crambidia pura
Crambidia sp. near cephalica
Crambus daeckellus
Crambus girardellus
Crambus murellus
Crambus watsonellus
Crangon septemspinosa
Crangonyx aberrans
Crangonyx acicularis
Crangonyx anomalus
Crangonyx antennatus
Crangonyx baculispina
Crangonyx dearolfi
Crangonyx fontinalis
Crangonyx grandimanus
Crangonyx hobbsi
Crangonyx minor
Crangonyx montanus
Crangonyx packardi
Crangonyx richmondensis
Crangonyx sp 2
Crangonyx sp. 1
Craniella laminaris
Crassinella martinicensis
Crassostrea virginica
Crataegus intricata
Crataegus marshallii
Crataegus spathulata
Crataegus triflora
Cratena pilata
Cratogeomys castanops
Crenichthys baileyi albivallis
Crenichthys baileyi baileyi
Crenichthys baileyi grandis
Crenichthys baileyi moapae
Crenichthys baileyi thermophilus
Crenichthys nevadae
Crenitis digestus
Crepidula fornicata
Crepidula plana
Crisia eburnea
Crocodylus acutus
Croomia pauciflora
Crosbyella distincta
Crosbyella roeweri
Crotalaria sagittalis
Crotalus adamanteus
Crotalus atrox
Crotalus cerastes
Crotalus horridus
Crotalus horridus horridus
Crotalus lepidus klauberi
Crotalus lepidus lepidus
Crotalus mitchellii
Crotalus oreganus concolor
Crotalus pricei pricei
Crotalus ruber ruber
Crotalus scutulatus
Crotalus viridis
Crotalus viridis nuntius
Crotalus viridis viridis
Crotalus willardi obscurus
Crotalus willardi willardi
Crotaphytus bicinctores
Crotaphytus collaris
Crotaphytus reticulatus
Croton fishlockii
Croton michauxii
Crotophaga ani
Crouania sp.
Crymodes burgessi
Cryptoblepharus poecilopleurus
Cryptobranchus alleganiensis
Cryptobranchus alleganiensis alleganiensis
Cryptobranchus alleganiensis bishopi
Cryptobunus cavicolus
Cryptocala acadiensis
Cryptocarya mannii
Cryptochia denningi
Cryptochia excella
Cryptochia shasta
Cryptochiton stelleri
Cryptodromiopsis antillensis
Cryptomastix harfordiana
Cryptomastix hendersoni
Cryptomastix magnidentata
Cryptomastix mullani blandi
Cryptomastix mullani clappi
Cryptomastix mullani latilabris
Cryptomastix mullani tuckeri
Cryptomastix populi
Cryptomastix sanburni
Cryptosula pallasiana
Cryptotis parva
Cryptotomus roseus
Crystallaria asprella
Ctenitis squamigera
Ctenium floridanum
Ctenodrilus serratus
Ctenogobius boleosoma
Ctenogobius pseudofasciatus
Ctenogobius saepepallens
Ctenogobius shufeldti
Ctenogobius smaragdus
Ctenogobius stigmaturus
Ctenotrachelus shermani
Cucullia alfarata
Cucullia speyeri
Cuerna sayi
Culaea inconstans
Culex bahamensis
Culex mulrennani
Cultus decisus isolatus
Cumberlandia monodonta
Cumingia tellinoides
Cupido comyntas
Cupuladria doma
Cuscuta harperi
Cyanea acuminata
Cyanea asarifolia
Cyanea asplenifolia
Cyanea capillata
Cyanea copelandii subsp. copelandii
Cyanea copelandii subsp. haleakalaensis
Cyanea crispa
Cyanea dunbariae
Cyanea eleeleensis
Cyanea gibsonii
Cyanea glabra
Cyanea grimesiana subsp. grimesiana
Cyanea grimesiana subsp. obatae
Cyanea hamatiflora subsp. carlsonii
Cyanea hamatiflora subsp. hamatiflora
Cyanea horrida
Cyanea humboldtiana
Cyanea koolauensis
Cyanea kuhihewa
Cyanea lobata subsp. lobata
Cyanea longiflora
Cyanea magnicalyx
Cyanea mannii
Cyanea mceldowneyi
Cyanea munroi
Cyanea obtusa
Cyanea pinnatifida
Cyanea platyphylla
Cyanea procera
Cyanea profuga
Cyanea purpurellifolia
Cyanea recta
Cyanea remyi
Cyanea rivularis
Cyanea sessilifolia
Cyanea shipmanii
Cyanea solanacea
Cyanea spp.
Cyanea st.-johnii
Cyanea stictophylla
Cyanea superba subsp. regina
Cyanea superba subsp. superba
Cyanea tritomantha
Cyanea truncata
Cyanea undulata
Cyanocitta cristata
Cyanocitta stelleri
Cyanocorax morio
Cyathea lunalata
Cyathoceras diomedae
Cyathura burbancki
Cyathura polita
Cybister fimbriolatus
Cyclachaena xanthifolia
Cyclanthera dissecta
Cyclaspis pustulata
Cyclaspis unicornis
Cyclaspis varians
Cycleptus elongatus
Cycleptus meridionalis
Cyclonaias tuberculata
Cyclophora nanaria
Cyclophora pendulinaria
Cyclopogon cranichoides
Cyclopogon elatus
Cyclopterus lumpus
Cycloptilum irregularis
Cycloseris fragilis
Cycloseris hexagonalis
Cyclosorus interruptus
Cyclostremiscus pentagonus
Cyclotrachelus incisus
Cyclura cornuta stejnegeri
Cycnia inopinatus
Cygnus buccinator
Cygnus columbianus
Cygnus columbianus columbianus
Cyllopsis gemma
Cymadusa compta
Cymatia americana
Cymatogaster aggregata
Cymbiodyta acuminata
Cymbiodyta blanchardi
Cymbiodyta chamberlaini
Cymbiodyta semistriatus
Cymbiodyta toddi
Cymodocea filiformis
Cymolutes lecluse
Cymophyllus fraserianus
Cynanthus latirostris
Cynodontium alpestre
Cynodontium strumiferum
Cynoglossum virginianum var. boreale
Cynomys gunnisoni
Cynomys leucurus
Cynomys ludovicianus
Cynomys parvidens
Cynosciadium digitatum
Cynoscion nebulosus
Cynoscion nothus
Cynoscion regalis
Cyperus compressus
Cyperus croceus
Cyperus diandrus
Cyperus engelmannii
Cyperus fauriei
Cyperus flavicomus
Cyperus grayoides
Cyperus houghtonii
Cyperus hystricinus
Cyperus laevigatus
Cyperus odoratus
Cyperus pennatiformis var. bryanii
Cyperus pennatiformis var. pennatiformis
Cyperus plukenetii
Cyperus polystachyos var. texensis
Cyperus retroflexus
Cyperus retrofractus
Cyperus retrorsus
Cyperus schweinitzii
Cyperus setigerus
Cyperus trachysanthos
Cyphastrea ocellina
Cyphoma gibbosum
Cypraea burgessi
Cypraea cervus
Cypraea gaskoini
Cypraea granulata
Cypraea mauiensis
Cypraea ostergaardi
Cypraea rasleighana
Cypraea semiplota
Cypraea sulcidentata
Cypraea tessallata
Cypraea tigris
Cyprinella analostana
Cyprinella caerulea
Cyprinella callistia
Cyprinella callitaenia
Cyprinella camura
Cyprinella chloristia
Cyprinella formosa
Cyprinella galactura
Cyprinella gibbsi
Cyprinella labrosa
Cyprinella leedsi
Cyprinella lepida
Cyprinella lutrensis
Cyprinella proserpina
Cyprinella pyrrhomelas
Cyprinella sp.
Cyprinella sp. (cf. zanema)
Cyprinella spiloptera
Cyprinella spp. [c.f. insignis]
Cyprinella venusta
Cyprinella whipplei
Cyprinella xaenura
Cyprinella zanema
Cyprinodon bovinus
Cyprinodon diabolis
Cyprinodon elegans
Cyprinodon eremus
Cyprinodon eximius
Cyprinodon eximius ssp
Cyprinodon macularius
Cyprinodon nevadensis amargosae
Cyprinodon nevadensis mionectes
Cyprinodon nevadensis nevadensis
Cyprinodon nevadensis pectoralis
Cyprinodon nevadensis shoshone
Cyprinodon pecosensis
Cyprinodon radiosus
Cyprinodon rubrofluviatilis
Cyprinodon salinus milleri
Cyprinodon salinus salinus
Cyprinodon tularosa
Cyprinodon variegatus
Cypripedium acaule
Cypripedium arietinum
Cypripedium candidum
Cypripedium kentuckiense
Cypripedium parviflorum
Cypripedium parviflorum var. parviflorum
Cypripedium parviflorum var. pubescens
Cypripedium reginae
Cyprogenia aberti
Cyprogenia stegaria
Cypselea humifusa
Cypseloides niger
Cypseloides niger borealis
Cyrtandra crenata
Cyrtandra cyaneoides
Cyrtandra dentata
Cyrtandra filipes
Cyrtandra giffardii
Cyrtandra gracilis
Cyrtandra halawensis
Cyrtandra hematos
Cyrtandra kaulantha
Cyrtandra kealiae subsp. kealiae
Cyrtandra munroi
Cyrtandra oxybapha
Cyrtandra paliku
Cyrtandra polyantha
Cyrtandra sessilis
Cyrtandra spp.
Cyrtandra subumbellata
Cyrtandra tintinnabula
Cyrtandra viridiflora
Cyrtandra waiolani
Cyrto-hypnum pygmaeum
Cyrtomnium hymenophylloides
Cyrtonyx montezumae
Cyrtopleura costata
Cystopteris bulbifera
Cystopteris tenuis
Cyzicus sp. (mexicanus?)
Dacoderus n. sp. (Aalbu & Andrews
Dactylocythere scotos
Daedalochila auriformis
Daedalochila hippocrepis
Dalea cylindriceps
Dalea enneandra
Dalea gattingeri
Dalea multiflora
Dallia pectoralis
Danaus plexippus
Danaus plexippus (overwintering sites)
Dannella lita
Dannella provonshai
Dannella simplex
Danthonia epilis
Danthonia spicata
Darapsa versicolor
Darlingtonea kentuckensis
Dasistoma macrophylla
Dasya iridescens
Dasya kriseniae
Dasya muurayana
Dasyatis americana
Dasyatis centroura
Dasyatis sabina
Dasyatis say
Dasybranchus lumbricoides
Dasychira cinnamomea
Dasycorixa hybrida
Dasymutilla homole
Dasyscias franzi
Datana ranaeceps
Decodon verticillatus
Deidamia inscripta
Deinopsis virginiana
Deirochelys reticularia
Deirochelys reticularia miaria
Deirochelys reticularia reticularia
Delissea niihauensis subsp. kauaiensis
Delissea niihauensis subsp. niihauensis
Delissea rhytidosperma
Delissea rivularis
Delissea subcordata
Delissea undulata
Delphinapterus leucas
Delphinium exaltatum
Delphinium geyeri
Delphinium leucophaeum
Delphinium nuttallianum
Delphinium pavonaceum
Deltistes luxatus
Deltocephalus gnarus
Deltochilum scabriusculum scabriusculum (Bates)
Deltocyathus andamanicus
Demonax microphthalmus
Dendragapus obscurus
Dendragapus obscurus howardi
Dendriscocaulon intricatulum
Dendrocoelopsis americana
Dendrocygna arborea
Dendrocygna autumnalis
Dendrocygna bicolor
Dendrogyra cylindrus
Dendroica adelaidae
Dendroica angelae
Dendroica caerulescens
Dendroica castanea
Dendroica cerulea
Dendroica chrysoparia
Dendroica coronata
Dendroica discolor
Dendroica discolor paludicola
Dendroica dominica
Dendroica dominica stoddardi
Dendroica fusca
Dendroica graciae
Dendroica kirtlandii
Dendroica magnolia
Dendroica nigrescens
Dendroica occidentalis
Dendroica palmarum
Dendroica pensylvanica
Dendroica petechia
Dendroica petechia brewsteri
Dendroica petechia gundlachi
Dendroica petechia sonorana
Dendroica pinus
Dendroica striata
Dendroica tigrina
Dendroica townsendi
Dendroica virens
Dendroica virens waynei
Dendroica virens wayneii
Dendrophyllia oahensis
Dendrophyllia serpentina
Dendrotettix quercus
Dennstaedtia punctilobula
Dentatisyllis carolinae
Dermaptera
Dermatocarpon moulinsii
Dermatolepis inermis
Dermochelys coriacea
Deroceras hesperium
Deroceras heterura
Derops divalis
Derrima stellata
Deschampsia nubigena
Descurainia pinnata
Descurainia pinnata ssp. pinnata
Desmiphora aegrota
Desmocerus californicus dimorphus
Desmocerus palliatus
Desmodium cuspidatum
Desmodium cuspidatum var. longifolium
Desmodium ochroleucum
Desmodium rotundifolium
Desmodium sessilifolium
Desmodium strictum
Desmodium viridiflorum
Desmognathus aeneus
Desmognathus apalachicolae
Desmognathus auriculatus
Desmognathus brimleyorum
Desmognathus cf. conanti
Desmognathus conanti
Desmognathus folkertsi
Desmognathus fuscus
Desmognathus fuscus fuscus
Desmognathus marmoratus
Desmognathus monticola
Desmognathus ochrophaeus
Desmognathus orestes
Desmognathus quadramaculatus
Desmognathus welteri
Desmognathus wrighti
Desmona bethula
Desmonus earlei
Desmophyllum cristagallis
Destria crocea
Destria fumida
Dexiospira corrugata
Diacyclops clandestinus
Diacyclops harryi
Diacyclops jeanneli
Diacyclops nearcticus
Diacyclops palustris
Diacyclops sp.
Diacyclops yeatmani
Diadema antillarum
Diadophis punctatus
Diadophis punctatus acricus
Diadophis punctatus arnyi
Diadophis punctatus edwardsii
Diadophis punctatus modestus
Diadophis punctatus similis
Diahinioides larvale
Dianella odorata
Diapensia lapponica
Diapheromera velii
Diarrhena americana
Diarsia rubifera
Diaseris distorta
Diastole matafaoi
Diastole schmeltziana
Dibaeis absoluta
Dibolia championi
Dicaelus dilatus
Dicaelus teter
Dicamptodon aterrimus
Dicamptodon copei
Dicerandra radfordiana
Diceroprocta vitripennis
Dichelyma capillaceum
Dichelyma falcatum
Dichocoenia stokesi
Dichodontium pellucidum
Dichondra carolinensis
Dichotomius carolinus
Dichromorpha viridis
Dicranella cerviculata
Dicranella rufescens
Dicranella schreberiana
Dicranodontium denudatum
Dicranopselaphus
Dicranopteris linearis
Dicranum ontariense
Dicranum polysetum
Dicrostonyx groenlandicus
Dicrostonyx groenlandicus exsul
Dicrostonyx groenlandicus peninsulae
Dicrostonyx groenlandicus stevensoni
Dicrostonyx groenlandicus unalascensis
Didelphis virginiana
Didelphis virginiana californica
Didelphis virginiana virginiana
Didemnum candidum
Didemnum vanderhorst.
Didymodon fallax var. fallax
Didymodon fallax var. reflexus
Didymodon revolutus
Didymodon rigidulus var. rigidulus
Didymodon tophaceus
Diellia erecta
Diellia falcata
Diellia mannii
Diellia pallida
Diellia unisora
Digrammia eremiata
Digrammia ordinata
Digynopora americana
Dihammaphora dispar
Dinacoma caseyi
Dinocardium robustum
Dinocheirus cavicolus
Dinocheirus texanus
Dinocheirus venustus
Diodon holocanthus
Diodora cayenensis
Diomus pseudotaedatus
Dionda argentosa
Dionda diaboli
Dionda episcopa
Dionda nigrotaeniata
Dionda serena
Diopatra cuprea
Dioscorea villosa
Diospyros sandwicensis
Diospyros virginiana
Diphasiastrum complanatum
Diphetor hageni
Diplazium molokaiense
Diplazium sanwichiananum
Diplectrona californica
Diplectrum formosum
Diplocardia meansi
Diplocentrus pelloncillensis
Diplocheila assimilis
Diplocheila impressicollis
Diplocheila striatopunctata
Diplodonta punctata
Diploperla kanawholensis
Diploperla morgani
Diplophyllum andrewsii
Diploria clivosa
Diploria labyrinthiformis
Diploria strigosa
Diplosoma macdonaldi
Diplothyra smithii
Dipodomys californicus
Dipodomys californicus eximius
Dipodomys compactus compactus
Dipodomys deserti
Dipodomys elator
Dipodomys heermanni berkeleyensis
Dipodomys heermanni dixoni
Dipodomys heermanni morroensis
Dipodomys ingens
Dipodomys merriami collinus
Dipodomys merriami parvus
Dipodomys microps celsus
Dipodomys microps leucotis
Dipodomys nitratoides brevinasus
Dipodomys nitratoides exilis
Dipodomys nitratoides nitratoides
Dipodomys panamintinus
Dipodomys panamintinus argusensis
Dipodomys panamintinus panamintinus
Dipodomys spectabilis
Dipodomys stephensi
Dipodomys venustus elephantinus
Dipodomys venustus venustus
Diporeia hoyi
Diprora haenaensis
Dipsosaurus dorsalis
Diptera
Dipturus laevis
Discoporella umbellata
Discosoma sanctithomae
Discus brunsoni
Discus bryanti
Discus catskillensis
Discus clappi
Discus macclintocki
Discus marmorensis
Discus nigrimontanus
Discus patulus
Discus shimekii
Discus shimekii cockerelli
Disonycha barberi
Disonycha stenosticha
Dispio uncinata
Dissodactylus mellitae
Distaplia bermudensis
Distichium capillaceum
Distichlis spicata ssp. spicata
Distichopora violacea
Distocambarus carlsoni
Distocambarus crockeri
Distocambarus devexus
Distocambarus hunteri
Distocambarus youngineri
Ditria reptans
Ditrichum lineare
Ditrichum pallidum
Ditrichum pusillum
Divaricella quadrisulcata
Dixioria brooksi
Dixioria coronata
